Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_expenditure_sum
ST.INT.XPND.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,38000000,70000000,106000000,255000000,110000000,138000000,140000000,151000000,89000000,130000000,226000000,168000000,49000000,1670000000
ST.INT.XPND.CD,Albania,ALB,290000000,269000000,386000000,507000000,669000000,808000000,989000000,1331000000,1644000000,1692000000,1452000000,1677000000,1374000000,1567000000,1689000000,1311000000,1338000000,1473000000,1750000000,1852000000,805000000,24873000000
ST.INT.XPND.CD,Algeria,DZA,..,..,..,..,..,660000000,414000000,502000000,613000000,574000000,716000000,595000000,598000000,531000000,679000000,762000000,556000000,632000000,542000000,670000000,272000000,9316000000
ST.INT.XPND.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,187000000,..,187000000
ST.INT.XPND.CD,Angola,AGO,146000000,80000000,52000000,49000000,86000000,135000000,393000000,473000000,447000000,270000000,275000000,323000000,288000000,316000000,505000000,389000000,823000000,1216000000,762000000,717000000,691000000,8436000000
ST.INT.XPND.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89000000,95000000,101000000,106000000,111000000,119000000,35000000,656000000
ST.INT.XPND.CD,Argentina,ARG,5460000000,4888000000,2744000000,2997000000,3208000000,3554000000,4047000000,5077000000,5987000000,5808000000,6448000000,7602000000,8466000000,8421000000,7837000000,9348000000,12273000000,14180000000,13084000000,9845000000,2746000000,1.4402E+11
ST.INT.XPND.CD,Armenia,ARM,56000000,59000000,85000000,97000000,199000000,255000000,300000000,430000000,494000000,496000000,641000000,756000000,874000000,1007000000,1101000000,1057000000,1033000000,1218000000,1335000000,1543000000,330000000,13366000000
ST.INT.XPND.CD,Aruba,ABW,163000000,156000000,172000000,213000000,248000000,250000000,241000000,270000000,272000000,264000000,261000000,287000000,294000000,342000000,350000000,357000000,319000000,349000000,394000000,399000000,310000000,5911000000
ST.INT.XPND.CD,Australia,AUS,9065000000,8184000000,8640000000,10434000000,14702000000,16153000000,17293000000,22052000000,25557000000,22680000000,27851000000,33967000000,35226000000,35197000000,35666000000,34071000000,35718000000,39710000000,42439000000,41345000000,7654000000,5.23604E+11
ST.INT.XPND.CD,Austria,AUT,7001000000,7408000000,7743000000,9761000000,10812000000,11077000000,..,..,..,..,..,..,..,..,..,11337000000,11634000000,12878000000,14109000000,13922000000,5551000000,1.23233E+11
ST.INT.XPND.CD,Azerbaijan,AZE,138000000,119000000,110000000,120000000,140000000,188000000,256000000,381000000,456000000,488000000,856000000,1778000000,2617000000,3032000000,3163000000,2743000000,2593000000,2803000000,2453000000,1839000000,439000000,26712000000
ST.INT.XPND.CD,"Bahamas, The",BHS,348000000,342000000,338000000,404000000,469000000,528000000,541000000,538000000,460000000,386000000,369000000,347000000,384000000,362000000,328000000,347000000,440000000,554000000,519000000,514000000,166000000,8684000000
ST.INT.XPND.CD,Bahrain,BHR,425000000,423000000,550000000,492000000,528000000,574000000,639000000,671000000,704000000,597000000,684000000,899000000,975000000,1001000000,758000000,4939000000,3267000000,3178000000,2522000000,2637000000,..,26463000000
ST.INT.XPND.CD,Bangladesh,BGD,471000000,341000000,309000000,389000000,442000000,371000000,481000000,530000000,735000000,651000000,835000000,819000000,889000000,1308000000,782000000,827000000,843000000,1127000000,1207000000,1389000000,659000000,15405000000
ST.INT.XPND.CD,Barbados,BRB,141000000,149000000,146000000,153000000,163000000,158000000,166000000,177000000,154000000,128000000,145000000,114000000,100000000,102000000,115000000,119000000,99000000,..,..,..,..,2329000000
ST.INT.XPND.CD,Belarus,BLR,247000000,486000000,527000000,436000000,500000000,516000000,675000000,724000000,860000000,752000000,748000000,729000000,948000000,1333000000,1308000000,997000000,891000000,1082000000,1170000000,1224500000,477000000,16630500000
ST.INT.XPND.CD,Belgium,BEL,..,10878000000,11270000000,13402000000,15456000000,16771000000,17891000000,19211000000,..,20813000000,20884000000,22836000000,22357000000,24507000000,26444000000,15856000000,16522000000,17835000000,20789000000,20998000000,13928000000,3.48648E+11
ST.INT.XPND.CD,Belize,BLZ,44000000,45000000,48000000,50000000,47000000,45000000,43000000,46000000,44000000,43000000,39000000,37000000,39000000,42000000,51000000,50000000,55000000,53000000,50000000,45400001.53,22040000.92,938440002.4
ST.INT.XPND.CD,Benin,BEN,50000000,48000000,49000000,53000000,59000000,58000000,71000000,107000000,102000000,88000000,91000000,81000000,96000000,39500000,54200000.76,141000000,87000000,148000000,76000000,130000000,..,1628700001
ST.INT.XPND.CD,Bermuda,BMU,..,..,..,..,..,..,394000000,453000000,459000000,407000000,417000000,326000000,327000000,322000000,378000000,363000000,373000000,369000000,334000000,342000000,212000000,5476000000
ST.INT.XPND.CD,Bhutan,BTN,..,..,..,..,..,..,..,..,65000000,34000000,43000000,58000000,69000000,67000000,42599998.47,44000000,52000000,63000000,79000000,67000000,50000000,733599998.5
ST.INT.XPND.CD,Bolivia,BOL,116000000,114000000,114000000,197000000,232000000,257000000,360000000,385000000,381000000,388000000,421000000,410000000,502000000,660000000,953000000,849000000,960000000,997000000,1009000000,1111000000,325000000,10741000000
ST.INT.XPND.CD,Bosnia and Herz.,BIH,92000000,96000000,112000000,145000000,162000000,158000000,210000000,264000000,345000000,285000000,247000000,214000000,196000000,198000000,205000000,278000000,290000000,346000000,378000000,393000000,163000000,4777000000
ST.INT.XPND.CD,Botswana,BWA,209000000,215000000,197000000,235000000,280000000,283000000,280000000,282299987.8,229699996.9,232399993.9,298500000,316480011,332000000,262200012.2,277000000,256399993.9,237100006.1,253300003.1,278299987.8,294700012.2,91800003.05,5341180008
ST.INT.XPND.CD,Brazil,BRA,4548000000,3765000000,2929000000,2874000000,3752000000,5905000000,7501000000,10434000000,13269000000,12897000000,18883000000,24608000000,26008000000,29286000000,29998000000,20356000000,17068000000,22991000000,22229000000,21178000000,6490000000,3.06969E+11
ST.INT.XPND.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Brunei,BRN,..,456000000,398000000,469000000,382000000,374000000,408000000,430000000,459000000,477000000,..,..,591000000,624000000,616000000,459000000,499000000,504000000,585000000,..,..,7731000000
ST.INT.XPND.CD,Bulgaria,BGR,764000000,836000000,1018000000,1467000000,1935000000,1858000000,2099000000,2142000000,2602000000,1955000000,975000000,1063000000,1096000000,1342000000,1459000000,1346000000,1636000000,2047000000,2247000000,2196000000,1263000000,33346000000
ST.INT.XPND.CD,Burkina Faso,BFA,30000000,35000000,36000000,50000000,67000000,74000000,84000000,93000000,110000000,111000000,110000000,129000000,146000000,215000000,176000000,160000000,176000000,182000000,191000000,185199996.9,..,2360199997
ST.INT.XPND.CD,Burundi,BDI,..,..,..,..,29000000,62000000,126000000,106000000,151000000,71000000,35000000,49000000,..,..,..,..,..,..,..,..,..,629000000
ST.INT.XPND.CD,Cabo Verde,CPV,41000000,55000000,63000000,89000000,93000000,82000000,106000000,123000000,143000000,145000000,138000000,142000000,135000000,127000000,115000000,109000000,79000000,100000000,112000000,107000000,59000000,2163000000
ST.INT.XPND.CD,Cambodia,KHM,52000000,59000000,64000000,60000000,80000000,137000000,176000000,194000000,180000000,163000000,131000000,344000000,406000000,469000000,527000000,641000000,762000000,919000000,1080000000,1162000000,213000000,7819000000
ST.INT.XPND.CD,Cameroon,CMR,241000000,199000000,205000000,272000000,394000000,480000000,521000000,466000000,563000000,476000000,265000000,622000000,668000000,795000000,830000000,742000000,818000000,845000000,915000000,984000000,697000000,11998000000
ST.INT.XPND.CD,Canada,CAN,15125000000,14634000000,14257000000,16309000000,19267000000,22746000000,26068000000,31101000000,33843000000,30225000000,37225000000,41247000000,..,..,..,..,..,..,..,..,..,3.02047E+11
ST.INT.XPND.CD,Cayman Islands,CYM,..,..,..,..,..,..,164000000,132000000,130000000,120000000,129000000,145000000,183000000,192000000,168000000,191000000,194000000,271000000,284000000,299000000,..,2602000000
ST.INT.XPND.CD,Central African Republic,CAF,33000000,29000000,29000000,31000000,32000000,46000000,47000000,54000000,56000000,61000000,67000000,68000000,69000000,69800003.05,..,..,..,..,..,..,..,691800003.1
ST.INT.XPND.CD,Chad,TCD,56000000,56000000,80000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,192000000
ST.INT.XPND.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Chile,CHL,904000000,939000000,932000000,1109000000,1251000000,1114000000,1238000000,1408000000,1386000000,1511000000,1736000000,2085000000,2400000000,2499000000,2707000000,2518000000,2733000000,3093000000,3124000000,3142000000,720000000,38549000000
ST.INT.XPND.CD,China,CHN,14169000000,14992000000,16759000000,16716000000,21360000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83996000000
ST.INT.XPND.CD,Colombia,COL,1452000000,1556000000,1355000000,1349000000,1543000000,1934000000,2171000000,2501000000,2819000000,2841000000,3228000000,3689000000,4461000000,4592000000,5299000000,4890000000,4891000000,5136000000,5531000000,5658000000,1576000000,68472000000
ST.INT.XPND.CD,Comoros,COM,..,..,..,7900000.095,9399999.619,19100000.38,23600000.38,28299999.24,31100000.38,30000000,33200000.76,37400001.53,36299999.24,..,40000000,34000000,38000000,42000000,48000000,53000000,43000000,554300001.6
ST.INT.XPND.CD,Dem. Rep. Congo,COD,..,..,..,..,..,54000000,93000000,109000000,127000000,121000000,150000000,298000000,108000000,170000000,283000000,127000000,60000000,68000000,115000000,..,..,1883000000
ST.INT.XPND.CD,Congo,COG,59000000,82000000,85000000,118000000,176000000,..,..,157000000,217000000,549000000,312000000,327000000,308000000,360000000,435000000,557000000,457000000,..,..,..,..,4199000000
ST.INT.XPND.CD,Costa Rica,CRI,545000000,430000000,427000000,484000000,530000000,591000000,647000000,825000000,753000000,500000000,629000000,620000000,647000000,649000000,657000000,898000000,1055000000,1322000000,1198000000,1330000000,697000000,15434000000
ST.INT.XPND.CD,Côte d'Ivoire,CIV,291000000,289000000,490000000,551000000,571000000,549000000,583000000,606000000,612000000,589000000,569000000,580000000,560000000,583000000,625000000,560000000,491000000,564000000,625000000,702000000,315000000,11305000000
ST.INT.XPND.CD,Croatia,HRV,634000000,677000000,852000000,709000000,881000000,786000000,770000000,1025000000,1167000000,1042000000,861000000,918000000,962000000,923000000,865000000,770000000,954000000,1410000000,1741000000,1811000000,789687194.8,20547687195
ST.INT.XPND.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Curacao,CUW,..,..,137000000,176000000,195000000,164000000,191000000,223000000,229000000,258000000,282000000,321000000,357000000,377000000,383000000,419000000,428000000,447000000,452000000,411000000,127000000,5577000000
ST.INT.XPND.CD,Cyprus,CYP,543000000,568000000,582000000,700293945.3,906639831.5,1001000000,1031161133,1553829346,1968000000,1742000000,1320000000,1366000000,1318000000,1254000000,1343000000,1453000000,1559318481,1378000000,1569000000,1596000000,880000000,25632242737
ST.INT.XPND.CD,Czechia,CZE,..,..,1797000000,2177000000,2682000000,2603000000,2874000000,3895000000,5029000000,4336000000,4354000000,4876000000,4556000000,4698000000,5173000000,4819000000,4962000000,5533000000,6074000000,6034000000,3495000000,79967000000
ST.INT.XPND.CD,Denmark,DNK,4669000000,4861000000,5838000000,6659000000,7279000000,6850000000,7486000000,8830000000,9698000000,8968000000,9082000000,9840000000,9600000000,10072000000,10443000000,8918000000,9174000000,9804000000,10485000000,..,..,1.58556E+11
ST.INT.XPND.CD,Djibouti,DJI,14800000.19,12899999.62,7699999.809,9899999.619,14000000,14399999.62,15000000,14199999.81,15500000,17500000,20500000,33500000,29600000.38,..,..,..,..,..,..,..,..,219499999
ST.INT.XPND.CD,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39000000,34000000,33000000,28000000,28000000,31000000,9000000,202000000
ST.INT.XPND.CD,Dominican Rep.,DOM,440000000,425000000,429000000,408000000,448000000,511000000,495000000,531000000,532000000,523000000,662000000,689000000,690000000,679000000,717000000,803000000,882000000,940000000,1006000000,1060000000,444000000,13314000000
ST.INT.XPND.CD,Ecuador,ECU,416000000,465000000,507000000,500000000,577000000,644000000,706000000,733000000,790000000,806000000,863000000,917000000,944000000,989000000,990000000,994000000,1454000000,1463000000,1523000000,1650000000,533000000,18464000000
ST.INT.XPND.CD,Egypt,EGY,1206000000,1248000000,1309000000,1465000000,1543000000,1932000000,2156000000,2886000000,3390000000,2941000000,2696000000,2575000000,3037000000,3261000000,3486000000,3636000000,4351000000,2419000000,2897000000,3718000000,2578000000,54730000000
ST.INT.XPND.CD,El Salvador,SLV,219000000,247000000,266000000,311000000,373000000,288000000,307000000,363000000,326000000,253000000,280000000,244000000,287000000,270000000,277000000,332000000,451000000,466000000,490000000,504000000,162000000,6716000000
ST.INT.XPND.CD,Equatorial Guinea,GNQ,19000000,30000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49000000
ST.INT.XPND.CD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Estonia,EST,253000000,253000000,305000000,404000000,486000000,530000000,706000000,804000000,939000000,..,..,..,..,1236000000,1346000000,1169000000,1299000000,1395000000,1647000000,1808000000,676000000,15256000000
ST.INT.XPND.CD,Eswatini,SWZ,32000000,31000000,..,23000000,54000000,60000000,54000000,63000000,59000000,98000000,87000000,35000000,53000000,48000000,62000000,64000000,33000000,74000000,43000000,33000000,36400001.53,1042400002
ST.INT.XPND.CD,Ethiopia,ETH,80000000,50000000,55000000,63000000,59000000,..,..,..,..,139000000,..,..,..,..,..,..,461000000,363500000,612700012.2,661000000,322500000,2866700012
ST.INT.XPND.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Fiji,FJI,96000000,84000000,79000000,88000000,118000000,132000000,113000000,106000000,108000000,108000000,102000000,116000000,110000000,105000000,99000000,115000000,119000000,138000000,160000000,174000000,77000000,2347000000
ST.INT.XPND.CD,Finland,FIN,2293000000,2442000000,2440000000,2956000000,3385000000,3620000000,4099000000,4812000000,5577000000,5236000000,5268000000,6013000000,5841000000,6387000000,6326000000,5786000000,6199000000,6740000000,7223000000,6841000000,1940000000,1.01424E+11
ST.INT.XPND.CD,France,FRA,29016000000,28781000000,30270000000,35807000000,36362000000,38633000000,39319000000,46042000000,50373000000,45087000000,46695000000,55509000000,50068000000,52444000000,58464000000,47713000000,49029000000,53787000000,59131000000,59751000000,31193000000,9.43474E+11
