Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_expenditure_sum
ST.INT.RCPT.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,57000000,89000000,147000000,165000000,167000000,179000000,121000000,86000000,62000000,16000000,50000000,85000000,75000000,1299000000
ST.INT.RCPT.CD,Albania,ALB,398000000,451000000,492000000,537000000,756000000,880000000,1057000000,1479000000,1850000000,2013000000,1778000000,1833000000,1623000000,1670000000,1849000000,1613000000,1821000000,2050000000,2306000000,2458000000,1243000000,30157000000
ST.INT.RCPT.CD,Algeria,DZA,..,..,..,..,..,477000000,393000000,334000000,473000000,361000000,324000000,300000000,295000000,326000000,316000000,347000000,246000000,171000000,196500000,140000000,50000000,4749500000
ST.INT.RCPT.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22000000,22000000,..,..,..,44000000
ST.INT.RCPT.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1910000000,..,1910000000
ST.INT.RCPT.CD,Angola,AGO,34000000,35000000,51000000,63000000,82000000,103000000,91000000,236000000,293000000,554000000,726000000,653000000,711000000,1241000000,1597000000,1171000000,628000000,884000000,557000000,395000000,19000000,10124000000
ST.INT.RCPT.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,803000000,802000000,844000000,820000000,854000000,992000000,416000000,5531000000
ST.INT.RCPT.CD,Argentina,ARG,3195000000,2756000000,1716000000,2306000000,2660000000,3209000000,3926000000,5030000000,5273000000,4455000000,5605000000,6058000000,5665000000,5199000000,5645000000,5441000000,5466000000,5830000000,5999000000,5654000000,1702000000,92790000000
ST.INT.RCPT.CD,Armenia,ARM,52000000,81000000,81000000,90000000,189000000,243000000,406000000,522000000,564000000,570000000,694000000,762000000,853000000,905000000,994000000,956000000,1037000000,1224000000,1358000000,1553000000,303000000,13437000000
ST.INT.RCPT.CD,Aruba,ABW,850000000,825000000,835000000,858099975.6,1057000000,1097000000,1064099976,1213400024,1352000000,1223000000,1254000000,1358000000,1412000000,1506000000,1625000000,1659000000,1757000000,1855000000,2035000000,2109000000,1077000000,28021599976
ST.INT.RCPT.CD,Australia,AUS,11594000000,11333000000,12148000000,14981000000,18032000000,19719000000,20408000000,25024000000,27189000000,26909000000,31064000000,34315000000,34137000000,32889000000,35736000000,36249000000,39059000000,43975000000,47327000000,47953000000,26234000000,5.96275E+11
ST.INT.RCPT.CD,Austria,AUT,11382000000,11511000000,12334000000,15128000000,17251000000,18471000000,..,..,..,..,..,..,..,..,..,20422000000,20965000000,22424000000,25413000000,25924000000,15362000000,2.16587E+11
ST.INT.RCPT.CD,Azerbaijan,AZE,68000000,57000000,63000000,70000000,79000000,100000000,201000000,317000000,382000000,545000000,792000000,1500000000,2634000000,2618000000,2713000000,2535000000,2855000000,3214000000,2830000000,2004099976,340000000,25917099976
ST.INT.RCPT.CD,"Bahamas, The",BHS,1753000000,1665000000,1773000000,1770000000,1897000000,2081000000,2066000000,2198000000,2155000000,2025000000,2159000000,2157000000,2333000000,2305000000,2336000000,2554000000,3091000000,2951000000,3756000000,4150000000,1007000000,48182000000
ST.INT.RCPT.CD,Bahrain,BHR,854000000,886000000,985000000,1206000000,1504000000,1603000000,1786000000,1854000000,1927000000,1873000000,2163000000,1766000000,1752000000,1875000000,1913000000,2827000000,4021000000,4380000000,3834000000,3860000000,724000000,43593000000
ST.INT.RCPT.CD,Bangladesh,BGD,..,..,59000000,59000000,76000000,82000000,..,..,..,77000000,103000000,97000000,105000000,131000000,154000000,150300003.1,214300003.1,348000000,357000000,391000000,217899993.9,2621500000
ST.INT.RCPT.CD,Barbados,BRB,795000000,728000000,695000000,840000000,843000000,905000000,1068000000,1198000000,1203000000,1076000000,1041000000,984000000,947000000,988000000,910000000,974000000,1071000000,..,..,..,..,16266000000
ST.INT.RCPT.CD,Belarus,BLR,188000000,272000000,295000000,339000000,362000000,346000000,401000000,479000000,585000000,563000000,665000000,747000000,986000000,1156000000,1230000000,1013000000,1019000000,1124500000,1221000000,1290000000,542000000,14823500000
ST.INT.RCPT.CD,Belgium,BEL,..,8304000000,7598000000,8848000000,10089000000,10881000000,11625000000,12369000000,..,12718000000,12680000000,14114000000,13704000000,14534000000,15249000000,8975000000,8784000000,9636000000,10319000000,10581000000,7447000000,2.08455E+11
ST.INT.RCPT.CD,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.RCPT.CD,Benin,BEN,77400001.53,85500000,94500000,107900001.5,120900001.5,107699996.9,121599998.5,206300003.1,236399993.9,131399993.9,149399993.9,201000000,174000000,193000000,153000000,148000000,129000000,160000000,175000000,240860000.6,..,3012859985
ST.INT.RCPT.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,500000000,448000000,447000000,407000000,370000000,440000000,513000000,583000000,601000000,94000000,4403000000
ST.INT.RCPT.CD,Bhutan,BTN,10000000,9000000,8000000,8000000,13000000,19000000,36000000,47000000,47000000,51000000,64000000,76000000,93000000,116000000,99000000,120000000,139000000,153000000,121000000,120000000,84000000,1433000000
ST.INT.RCPT.CD,Bolivia,BOL,101000000,119000000,143000000,243000000,283000000,345000000,330000000,326000000,302000000,306000000,339000000,499000000,631000000,639000000,746000000,810000000,827000000,928000000,948000000,977000000,243000000,10085000000
ST.INT.RCPT.CD,Bosnia and Herz.,BIH,246000000,279000000,307000000,404000000,507000000,557000000,658000000,804000000,913000000,753000000,662000000,722000000,686000000,752000000,755000000,794000000,875000000,984000000,1147000000,1225000000,438000000,14468000000
ST.INT.RCPT.CD,Botswana,BWA,227000000,235000000,324000000,459000000,582000000,563000000,540000000,548299987.8,510700012.2,663599975.6,440100006.1,468299987.8,515599975.6,484200012.2,529299987.8,534299987.8,505000000,542010009.8,584200012.2,712400024.4,217000000,10185009979
ST.INT.RCPT.CD,Brazil,BRA,1969000000,1844000000,2142000000,2673000000,3389000000,4168000000,4577000000,5284000000,6109000000,5635000000,5522000000,6370000000,6623000000,6784000000,7405000000,6254000000,6613000000,6175000000,6324000000,6127000000,3099000000,1.05086E+11
ST.INT.RCPT.CD,British Virgin Islands,VGB,345000000,401000000,345000000,342000000,393000000,412000000,438000000,451000000,446000000,374000000,389000000,388000000,398000000,421000000,459000000,484000000,..,..,..,..,..,6486000000
ST.INT.RCPT.CD,Brunei,BRN,..,155000000,113000000,124000000,181000000,191000000,224000000,233000000,242000000,254000000,..,..,92000000,96000000,79000000,147000000,144000000,177000000,190000000,..,..,2642000000
ST.INT.RCPT.CD,Bulgaria,BGR,1364000000,1262000000,1392000000,2051000000,2796000000,3063000000,3317000000,4181000000,4852000000,4273000000,3807000000,4297000000,3975000000,4410000000,4518000000,3568000000,4148000000,4663000000,5061000000,4832000000,1792000000,73622000000
ST.INT.RCPT.CD,Burkina Faso,BFA,23000000,25000000,37000000,38000000,52000000,46000000,55000000,61000000,82000000,99000000,105000000,116000000,128000000,200000000,183000000,152000000,172000000,172000000,179000000,173000000,..,2098000000
ST.INT.RCPT.CD,Burundi,BDI,1399999.976,899999.9762,1600000.024,1200000.048,1799999.952,1899999.976,1600000.024,2299999.952,1600000.024,1700000.048,2099999.905,3700000.048,..,..,..,..,..,..,..,..,..,21799999.95
ST.INT.RCPT.CD,Cabo Verde,CPV,64000000,77000000,100000000,135000000,153000000,177000000,280000000,375000000,432000000,349000000,387000000,438000000,452000000,483000000,453000000,380000000,397000000,451000000,520000000,567000000,169000000,6839000000
ST.INT.RCPT.CD,Cambodia,KHM,345000000,429000000,509000000,441000000,673000000,929000000,1109000000,1169000000,1280000000,1463000000,1671000000,2258000000,2663000000,2895000000,3220000000,3419000000,3523000000,4024000000,4832000000,5312000000,1119000000,43283000000
ST.INT.RCPT.CD,Cameroon,CMR,132000000,182000000,124000000,266000000,212000000,229000000,231000000,254000000,167000000,271000000,171000000,423000000,377000000,607000000,629000000,476000000,508000000,544000000,633000000,681000000,437000000,7554000000
ST.INT.RCPT.CD,Canada,CAN,13035000000,12680000000,12744000000,12236000000,15135000000,15891000000,16837000000,17962000000,18190000000,15580000000,18440000000,19994000000,..,..,..,..,..,..,..,..,..,1.88724E+11
ST.INT.RCPT.CD,Cayman Islands,CYM,559000000,585000000,607000000,518000000,523000000,356000000,509000000,481000000,518000000,458000000,465000000,472000000,489000000,500000000,565000000,680000000,708000000,832000000,911000000,964000000,..,11700000000
ST.INT.RCPT.CD,Central African Republic,CAF,5000000,5000000,3000000,4000000,7800000.191,7199999.809,10199999.81,10800000.19,11800000.19,7500000,14399999.62,15000000,15000000,15600000.38,..,..,..,..,..,..,..,132300000.2
ST.INT.RCPT.CD,Chad,TCD,14000000,23000000,25000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62000000
ST.INT.RCPT.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.RCPT.CD,Chile,CHL,1179000000,1184000000,1221000000,1309000000,1571000000,1608000000,1853000000,2224000000,2481000000,2380000000,2362000000,2723000000,3158000000,3171000000,3202000000,3412000000,3744000000,4115000000,3911000000,3279000000,1034000000,51121000000
